date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:19	1063/1063	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226572913b-cba%22	https://www.vipkid.com/robots.txt		(from )
21:07:19	8286/8286	---M-Z	200	added ('OK')	text/html	etag:W/%22AC2BA7EB4F9BFFD5FCE7657D2D200B8E%22	https://www.vipkid.com/	./www.vipkid.com/index.html	(from )
21:07:20	1505/1505	---M--	200	added ('OK')	image/x-icon	etag:%225C17ED795C302968980B86AC334C0987%22	http://s.vipkidstatic.com/fe-static/hobbit/asset/res/image/vipkid.ico	./s.vipkidstatic.com/fe-static/hobbit/asset/res/image/vipkid.ico	(from https://www.vipkid.com/)
21:07:21	384/384	---M--	403	error ('Forbidden')	application/xml	date:Sat,%2011%20Jan%202025%2021:07:20%20GMT	http://s.vipkidstatic.com/	./s.vipkidstatic.com/index.html	(from https://www.vipkid.com/)
21:07:21	16008/16008	---M--	200	added ('OK')	image/png	etag:%225BE21B71F7FC92E4BAC787054062B0F0%22	http://s.vipkidstatic.com/fe-static/hobbit/asset/res/image/error-v4.png	./s.vipkidstatic.com/fe-static/hobbit/asset/res/image/error-v4.png	(from https://www.vipkid.com/)
21:07:22	21650/21650	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20Oct%202024%2002:53:57%20GMT	https://s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/css/chunk-vendors.29ae283e.css	./s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/css/chunk-vendors.29ae283e.css	(from https://www.vipkid.com/)
21:07:23	8719/8719	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20Oct%202024%2002:53:57%20GMT	https://s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/css/app.e23f3fa4.css	./s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/css/app.e23f3fa4.css	(from https://www.vipkid.com/)
21:07:24	8285/8285	---M-Z	200	added ('OK')	text/html	etag:W/%22AC2BA7EB4F9BFFD5FCE7657D2D200B8E%22	https://www.vipkid.com/ak.m	./www.vipkid.com/ak.html	(from https://www.vipkid.com/)
21:07:25	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202025%2021:07:25%20GMT	https://s.go-mpulse.net/boomerang/	./s.go-mpulse.net/boomerang/index.html	(from https://www.vipkid.com/)
21:07:25	8299/8299	---M-Z	200	added ('OK')	text/html	etag:W/%22AC2BA7EB4F9BFFD5FCE7657D2D200B8E%22	https://www.vipkid.com/ak.t	./www.vipkid.com/ak-2.html	(from https://www.vipkid.com/)
21:07:26	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202025%2021:07:25%20GMT	https://s2.go-mpulse.net/boomerang/	./s2.go-mpulse.net/boomerang/index.html	(from https://www.vipkid.com/)
21:07:27	390823/390823	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2016%20Dec%202024%2006:33:50%20GMT	https://s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/js/chunk-vendors.29521a25.js	./s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/js/chunk-vendors.29521a25.js	(from https://www.vipkid.com/)
21:07:27	67755/67755	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2016%20Dec%202024%2006:33:49%20GMT	https://s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/js/app.14291827.js	./s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/js/app.14291827.js	(from https://www.vipkid.com/)
21:07:29	393/393	---M--	404	error ('Not%20Found')	application/xml	date:Sat,%2011%20Jan%202025%2021:07:29%20GMT	http://s.vipkidstatic.com/robots.txt		(from https://www.vipkid.com/)
21:07:30	45/45	---M--	404	error ('Not%20Found')	application/javascript	date:Sat,%2011%20Jan%202025%2021:07:30%20GMT	https://s.go-mpulse.net/robots.txt		(from https://www.vipkid.com/)
21:07:31	45/45	---M--	404	error ('Not%20Found')	application/javascript	date:Sat,%2011%20Jan%202025%2021:07:31%20GMT	https://s2.go-mpulse.net/robots.txt		(from https://www.vipkid.com/)
21:07:33	393/393	---M--	404	error ('Not%20Found')	application/xml	date:Sat,%2011%20Jan%202025%2021:07:32%20GMT	https://s.vipkidstatic.com/robots.txt		(from https://s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/css/app.e23f3fa4.css)
21:07:33	5312708/5312708	---M--	200	added ('OK')	application/font-woff2	etag:%22166F923889DAFBBBA741069645F5F01A%22	https://s.vipkidstatic.com/fe-static/hobbit/asset/res/font/PingFang/PingFang.woff2	./s.vipkidstatic.com/fe-static/hobbit/asset/res/font/PingFang/PingFang.woff2	(from https://s.vipkidstatic.com/fe-static/hobbit-subsite-hk/prod/default/css/app.e23f3fa4.css)
