date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:36	41853/41853	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202025%2001:02:36%20GMT	https://www.premier-stores.co.uk/	./premier-stores-site/index-2.html	(from )
01:02:37	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/favicon.ico	./premier-stores-site/themes/custom/premierconsumer/favicon.ico	(from https://www.premier-stores.co.uk/)
01:02:38	19650/19650	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2011:14:26%20GMT	https://www.premier-stores.co.uk/sites/default/files/css/css_XHrtCG3VWnSimyC46F384y4FS4lMgbgxjJMnIXV0Vxs.css?delta=0&language=en&theme=premierconsumer&include=eJxlzEEKgDAMBdELVXskqfqRSNJo0ii9veBKcDPwNuPdGyTPxZEOgxBs0eohsLyxzoUHb52pbuki3J7fjqJrMNJ-BqxPQVOJpovKwWjIX_yupr2wM62wB07-Ml4	./premier-stores-site/sites/default/files/css/css_XHrtCG3VWnSimyC46F384y4FS4lMgbgxjJMnIXV0Vxs593c.css	(from https://www.premier-stores.co.uk/)
01:02:39	116773/116773	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2011:14:35%20GMT	https://www.premier-stores.co.uk/sites/default/files/css/css_uHv_Wi6_QcqGW0tDKKyjQWuOLYn6j6bIxgZA0WFCssE.css?delta=1&language=en&theme=premierconsumer&include=eJxlzEEKgDAMBdELVXskqfqRSNJo0ii9veBKcDPwNuPdGyTPxZEOgxBs0eohsLyxzoUHb52pbuki3J7fjqJrMNJ-BqxPQVOJpovKwWjIX_yupr2wM62wB07-Ml4	./premier-stores-site/sites/default/files/css/css_uHv_Wi6_QcqGW0tDKKyjQWuOLYn6j6bIxgZA0WFCssEd5e5.css	(from https://www.premier-stores.co.uk/)
01:02:40	1904/1904	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-57x57.png	./premier-stores-site/themes/custom/premierconsumer/images/ui/favicons/apple-icon-57x57.png	(from https://www.premier-stores.co.uk/)
01:02:41	1912/1912	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-60x60.png	./premier-stores-site/themes/custom/premierconsumer/images/ui/favicons/apple-icon-60x60.png	(from https://www.premier-stores.co.uk/)
01:02:42	2156/2156	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-72x72.png	./premier-stores-site/themes/custom/premierconsumer/images/ui/favicons/apple-icon-72x72.png	(from https://www.premier-stores.co.uk/)
01:02:43	2745/2745	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-76x76.png	./premier-stores-site/themes/custom/premierconsumer/images/ui/favicons/apple-icon-76x76.png	(from https://www.premier-stores.co.uk/)
01:02:44	3857/3857	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-114x114.png	./premier-stores-site/themes/custom/premierconsumer/images/ui/favicons/apple-icon-114x114.png	(from https://www.premier-stores.co.uk/)
01:02:45	4134/4134	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-120x120.png	./premier-stores-site/themes/custom/premierconsumer/images/ui/favicons/apple-icon-120x120.png	(from https://www.premier-stores.co.uk/)
